GJ 15 A c,Radial Velocity,7600.0,0.0,0.0
GJ 160.2 b,Radial Velocity,5.2354,0.0,0.0
GJ 163 b,Radial Velocity,8.63182,0.0,0.0
GJ 163 c,Radial Velocity,25.63058,0.0,0.0
GJ 163 d,Radial Velocity,603.95116,0.0,0.0
GJ 179 b,Radial Velocity,2288.0,0.0,0.0
GJ 180 b,Radial Velocity,17.133,0.0,0.0
GJ 180 c,Radial Velocity,24.329,0.0,0.0
GJ 180 d,Radial Velocity,106.3,0.0,0.0
GJ 229 A c,Radial Velocity,121.995,0.0,0.0
GJ 229 b,Radial Velocity,526.115,0.0,0.0
GJ 27.1 b,Radial Velocity,15.819,0.0,0.0
GJ 273 b,Radial Velocity,18.6498,0.0,0.0
GJ 273 c,Radial Velocity,4.7234,0.0,0.0
GJ 3021 b,Radial Velocity,133.71,0.0,0.0
GJ 3082 b,Radial Velocity,11.949,0.0,0.0
GJ 3138 b,Radial Velocity,1.22003,0.0,0.0
GJ 3138 c,Radial Velocity,5.974,0.0,0.0
GJ 3138 d,Radial Velocity,257.8,0.0,0.0
GJ 317 b,Radial Velocity,692.0,794.5,0.0
GJ 317 c,Radial Velocity,5312.0,0.0,0.0
GJ 328 b,Radial Velocity,4100.0,0.0,0.0
GJ 3293 b,Radial Velocity,30.5987,0.0,0.0
GJ 3293 c,Radial Velocity,122.6196,0.0,0.0
GJ 3293 d,Radial Velocity,48.1345,0.0,0.0
GJ 3293 e,Radial Velocity,13.2543,0.0,0.0
GJ 3323 b,Radial Velocity,5.3636,0.0,0.0
GJ 3323 c,Radial Velocity,40.54,0.0,0.0
GJ 3341 b,Radial Velocity,14.207,0.0,0.0
GJ 3470 b,Radial Velocity,3.3366496,13.9,4.57
GJ 3512 b,Radial Velocity,203.59,0.0,0.0
GJ 357 b,Transit,3.93072,1.84,1.217
GJ 357 c,Radial Velocity,9.1247,0.0,0.0
GJ 357 d,Radial Velocity,55.661,0.0,0.0
GJ 3634 b,Radial Velocity,2.64561,8.4,0.0
GJ 3779 b,Radial Velocity,3.0232,0.0,0.0
GJ 3942 b,Radial Velocity,6.905,0.0,0.0
GJ 3998 b,Radial Velocity,2.64977,0.0,0.0
GJ 3998 c,Radial Velocity,13.74,0.0,0.0
GJ 411 b,Radial Velocity,12.9532,0.0,0.0
GJ 422 b,Radial Velocity,20.129,0.0,0.0
GJ 4276 b,Radial Velocity,13.352,0.0,0.0
GJ 433 b,Radial Velocity,7.3705,0.0,0.0
GJ 433 c,Radial Velocity,5094.105,0.0,0.0
GJ 433 d,Radial Velocity,36.059,0.0,0.0
GJ 436 b,Radial Velocity,2.64388312,22.1,4.17
GJ 504 b,Imaging,0.0,1271.3,0.0
GJ 536 b,Radial Velocity,8.7076,0.0,0.0
GJ 581 b,Radial Velocity,5.3686,0.0,0.0
GJ 581 c,Radial Velocity,12.914,0.0,0.0
GJ 581 e,Radial Velocity,3.149,0.0,0.0
GJ 625 b,Radial Velocity,14.628,0.0,0.0
GJ 649 b,Radial Velocity,598.3,0.0,0.0
GJ 667 C b,Radial Velocity,7.2004,0.0,0.0
GJ 667 C c,Radial Velocity,28.14,0.0,0.0
GJ 667 C e,Radial Velocity,62.24,0.0,0.0
GJ 667 C f,Radial Velocity,39.026,0.0,0.0
GJ 667 C g,Radial Velocity,256.2,0.0,0.0
GJ 674 b,Radial Velocity,4.6938,0.0,0.0
GJ 676 A b,Radial Velocity,1056.80005,0.0,0.0
GJ 676 A c,Radial Velocity,7337.0,0.0,0.0
GJ 676 A d,Radial Velocity,3.6005,0.0,0.0
GJ 676 A e,Radial Velocity,35.39,0.0,0.0
GJ 682 b,Radial Velocity,17.478,0.0,0.0
GJ 682 c,Radial Velocity,57.32,0.0,0.0
GJ 685 b,Radial Velocity,24.16,0.0,0.0
GJ 687 b,Radial Velocity,38.14,0.0,0.0
GJ 832 b,Radial Velocity,3657.0,0.0,0.0
GJ 832 c,Radial Velocity,35.68,0.0,0.0
GJ 849 b,Radial Velocity,1882.0,0.0,0.0
GJ 86 b,Radial Velocity,15.76491,0.0,0.0
GJ 876 b,Radial Velocity,61.1166,723.2235,0.0
GJ 876 c,Radial Velocity,30.0881,226.9846,0.0
GJ 876 d,Radial Velocity,1.93778,6.83,0.0
GJ 876 e,Radial Velocity,124.26,14.6,0.0
GJ 96 b,Radial Velocity,73.94,0.0,0.0
GJ 9827 b,Transit,1.2089819,4.91,1.577
GJ 9827 c,Transit,3.6480957,0.84,1.241
GJ 9827 d,Transit,6.2014698,4.04,2.022
GQ Lup b,Imaging,0.0,6356.0,33.6
GSC 06214-00210 b,Imaging,0.0,5000.0,0.0
