# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Apr 16 01:34:03 2020
#
# User preference: *
#
# COLUMN 0 pl_hostname:    Host Name
# COLUMN 1 pl_name:        Planet Name
# COLUMN 2 pl_discmethod:  Discovery Method
# COLUMN 3 pl_orbper:      Orbital Period [days]
# COLUMN 4 dec_str:        Dec [sexagesimal]
# COLUMN 5 dec:            Dec [decimal degrees]
# COLUMN 6 pl_masse:       Planet Mass [Earth mass]
# COLUMN 7 pl_rade:        Planet Radius [Earth radii]
#
# pl_hostname,pl_name,pl_discmethod,pl_orbper,dec_str,dec,pl_masse,pl_rade
EPIC 206024342,EPIC 206024342 b,Transit,4.50756000,-14d07m18.0s,-14.121665,,1.700
EPIC 206032309,EPIC 206032309 b,Transit,2.87814000,-13d54m03.3s,-13.900921,,1.010
EPIC 206042996,EPIC 206042996 b,Transit,5.29711000,-13d36m36.4s,-13.610113,,1.620
EPIC 206215704,EPIC 206215704 b,Transit,2.25372000,-09d30m34.3s,-9.509531,,0.900
EPIC 206317286,EPIC 206317286 b,Transit,1.58252000,-07d58m20.7s,-7.972406,,0.960
EPIC 211822797,EPIC 211822797 b,Transit,21.16986100,+17d38m24.0s,17.640005,,1.980
EPIC 211945201,EPIC 211945201 b,Transit,19.49221000,+19d24m08.1s,19.402252,,5.760
EPIC 212297394,EPIC 212297394 b,Transit,2.28943000,-17d36m35.7s,-17.609905,,1.323
EPIC 212424622,EPIC 212424622 b,Transit,18.09830000,-14d21m34.1s,-14.359463,,2.170
EPIC 212499991,EPIC 212499991 b,Transit,34.88500000,-12d44m05.0s,-12.734723,,1.600
EPIC 212587672,EPIC 212587672 b,Transit,15.28410000,-10d51m44.8s,-10.862432,,1.120
EPIC 212737443,EPIC 212737443 b,Transit,13.60300000,-07d19m05.3s,-7.318144,,2.586
EPIC 212737443,EPIC 212737443 c,Transit,65.55000000,-07d19m05.3s,-7.318144,,2.690
K2-282,EPIC 220554210 c,Transit,0.70531000,+07d59m43.1s,7.995316,,1.480
EPIC 220674823,EPIC 220674823 b,Transit,0.57133100,+10d47m40.9s,10.794699,,1.820
